"id_pessoa","nome","nome_ref"
480,"Ricardo Roberto Leme","Leme, R. R."
481,"Richard Faust","Faust, R."
482,"Roberta Macêdo Marques Gouveia","Gouveia, R. M. M."
483,"Roberto C. M. Borges","Borges, R. C. M."
484,"Roberto Calderon","Calderon, R."
485,"Roberto Pereira","Pereira, R."
486,"Roberto Romani","Romani, R."
487,"Roberto S. Bigonha","Bigonha, R. S."
488,"Rodolfo Capeto","Capeto, R."
489,"Rodrigo Araujo Barbalho","Barbalho, R. A."
490,"Rodrigo Assaf","Assaf, R."
491,"Rodrigo Becker Rabello","Rabello, R. B."
492,"Rodrigo Bonacin","Bonacin, R."
493,"Rodrigo de Godoy Domingues","Domingues, R. G."
494,"Rodrigo Ferreira da Silva","Silva, R. F."
495,"Rodrigo Fonseca","Fonseca, R."
496,"Rogério Abreu de Paula","Paula, R. A."
497,"Rogério Aparecido Campanari Xavier","Xavier, R. A. C."
498,"Rogério Caetano","Caetano, R."
499,"Rosa G. Paredes","Paredes, R. G."
500,"Rosa Vicari","Vicari, R."
501,"Rosângela D. Penteado","Penteado, R. D."
502,"Rossana Andrade","Andrade, R."
503,"Salvador Fuentes","Fuentes, S."
504,"Samuel Bastos Buchdid","Buchdid, S. B."
505,"Sandra Ap. Ribeiro Ossada","Ossada, S. A. R."
506,"Sarah Gomes Sakamoto","Sakamoto, S. G."
507,"Sebastian Feuerstack","Feuerstack, S."
508,"Sebastiano Bagnara","Bagnara, S."
509,"Sergio Firmenich","Firmenich, S."
510,"Sérgio Luisir Díscola Junior","Junior, S. L. D."
511,"Sérgio Roberto P. da Silva","Silva, S. R. P."
512,"Shirley Gois Barreto","Barreto, S. G."
513,"Sidney Fels","Fels, S."
514,"Sílvia Amélia Bim","Bim, S. A."
515,"Silvia C. Martini Rodrigues","Rodrigues, S. C. M."
516,"Silvia E. Ghirotti","Ghirotti, S. E."
517,"Silvia Schiaffino","Schiaffino, S."
518,"Sílvio Massaro Neto Márcio Matias","Matias, S. M. N. M."
519,"Simone Bacellar Leal Ferreira","Ferreira, S. B. L."
520,"Simone D. J. Barbosa","Barbosa, S. D. J."
521,"Simone Isabela de Rezende Xavier","Xavier, S. I. R."
522,"Simone Xavier","Xavier, S."
523,"Soraia de S. Reis","Reis, S. S."
524,"Stefano A. Cerri","Cerri, S. A."
525,"Suzanne Kieffer","Kieffer, S."
526,"Taciana Pontual Falcão","Falcão, T. P."
527,"Taissa Abdalla Filgueiras de Sousa","Sousa, T. A. F."
528,"Tancicleide Carina Simões Gomes","Gomes, T. C. S."
529,"Tânia Kist","Kist, T."
530,"Tathiane Mendonça Andrade","Andrade, T. M."
531,"Tatiana A. Tavares","Tavares, T. A."
532,"Tatiana Silva de Alencar","Alencar, T. S."
533,"Tayana Conte","Conte, T."
534,"Tédi Itamar Zanfolim","Zanfolim, T. I."
535,"Thales R. B. Souza","Souza, T. R. B."
536,"Thiago Adriano Coleti","Coleti, T. A."
537,"Thiago Carvalho","Carvalho, T."
538,"Thiago Jabur Bittar","Bittar, T. J."
539,"Thiago Prado de Campos","Campos, T. P."
540,"Thiago Schumacher Barcelos","Barcelos, T. S."
541,"Thiago T. Coelho","Coelho, T. T."
542,"Thomé Zeina Rebouças Corrêa","Corrêa, T. Z. R."
